Tweet,Sentiment
its four youre all UGLY,0
BobHerzog super duper ugly,0
Cant front she was ugly but that was the fattest ass in history lmao,0
ugly,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
KellyannePolls youre disgusting And ugly,0
Somebody come get lamxcna ugly ass????,0
bobfescoe  because his ugly wife harassed and threatened his victims Duh Vapid idiot,0
AlwaysHunteer JinkiBaem JinkWorld saintshinee ,1
RT bubblestbh rt if ur the ugly friend,0
Bill Gates the Ugly became Monarch of Australia in  2017,0
RT bruhitszach If youre reading this just know ??\n\nYou ugly and smell like moldy cheese\n\nIm playing love you ??,0
RT bloop someone will appreciate my ugly ass one day,0
RT JetBlackGuitar sorryvapor excuse me and my ugly ass eyebrows httpstcofylSLSWMVk,0
She so ugly proceeds to slide in dms ??,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
nothing worst than a ugly bitch who swear up and down she cute,0
RT wantjaylen Just bec they known please do not hype these little ugly kids heads up??,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
Congrats ugly ?? httpstcoaHcdkilOVK,0
Like boa we know that ugly bitch belong to you,0
RT bubblestbh rt if ur the ugly friend,0
RT bubblestbh rt if ur the ugly friend,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
SavageNation lies abt being denied Professr job do 2 affirmative action back thn Universites only hired all whitehttpstco2AkcbA0Ic7,0
RT carolinaaa56 i wanna see ugly god live,1
RT psychotbh 98 stress 2 ugly,0
Ps pants are ugly but cute at the same time lol but she slays httpstcoGsBlYHqDT9,1
TwistedTene25 tell mesh ugly ass i know she saw my text ????,0
RT lexyrichardsonn taking pics with ur friends is hard when theyre solid 10s and ur ugly,1
HillaryClinton Im doing my part I purchased an old lumpy voodoo doll wearing an ugly green pantsuit I place a pin in it every night,1
RT hatelynn when youre the ugly fish but your fits are always fresh so youre still cute httpstcoMLqbgfeMqu,1
RT ddaeeeee why ugly bitches be the ones to talk the most shit,0
BTUArmy ugly Christmas sweater idea httpstcocnNLht0sUo,0
RT HeidiSomers Dont waste your beautiful mind doing ugly things,1
Well if anybody needs an extra roommate toriknyszek13 is available she just called my dog ugly so Im officially kicking her out,1
I was fw that nigga back then when he was ugly af amp he still switched up ??,0
RT AdorableWords arrives home ahh good now i can be ugly in peace,1
ZeZordYT 13 minutes lol,1
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
Game day tomorrow 1200 time for me to lock in ??3????,1
RT sofinee1 yall kids at MNW need to mind yall OWN damn business ugly asses ,0
RT bubblestbh rt if ur the ugly friend,0
lorensummer that spelling is ugly,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT bruhchance i might still be ugly but i used to be uglier,1
RT psychotbh 98 stress 2 ugly,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
becmoore66 you are not ugly you should not listen to people who say you are because they are only jealous of your beauty,1
RT psychotbh 98 stress 2 ugly,0
DavidHaugh Hes not even close to catching up w fastballs Ugly,0
It sucks being ugly,0
howardtayler my left amp right hemispheres are having a mini debate in my head right now about whether I want to watch it Its getting ugly,0
RT psychotbh 98 stress 2 ugly,0
Polkameister Again another stale lowinfo Canadian politico spills his watery factfree soup on that ugly Socialist tie fail,0
RT mustardbaby06 some guys called me ugly so if u see a video going viral of me calling them mop heads its bc they started it,0
I never was ugly though ??,1
RT Dutch Twitter be making me ugly laugh in public lmao,1
RT psychotbh 98 stress 2 ugly,0
Newsweek what an ugly sob,0
Ugly httpstco9cdqrEmiLr,0
RT SHAQ If u feel alone and by yourself look in the mirror and wow theres two of you  Be who you are Who are you I am me Ugly lo…,0
Some of these studs ugly af ????,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
RT femaIes I hate when I smile  someone and they dont smile back like ugh nvm ugly hoe,0
RT psychotbh 98 stress 2 ugly,0
RT FriendlyAssh0le rt if ur ugly,0
Fat Ugly Americans in Romania httpstcogvf1P1k8Wg via TheBSTravelers travel TravelSkills travelblogger,0
RT psychotbh 98 stress 2 ugly,0
RT psychotbh 98 stress 2 ugly,0
RT Democrat4Trump NEVER SEEN BEFORE FOOTAGE of Hillary being rude to a black lady She is like this all the time behind closed doors ht…,0
RT baeryl me Im a bad bitch and I dont care what people say\n\neveryone my god that bitch is so ugly holy FUCK\n\nme httpstcoP7x0Q…,0
RT indelics Damn woke up ugly again,0
RT FiImQuote The Ugly Truth httpstcoEapdCxlkE8,0
Im ugly af,0
Terrified to have kids Ive seen a lot of ugly ones floating around,0
mradamscott love how u think youre still relevant you ugly no talent mother fucker,0
the hs u ALWAYS worried about wtf is going on at bitch didnt ur ugly fat bad body U ass graduate last yr dont wo… httpstcocLqZOT8yG3,0
i Kno ppl hate bts amp their fans too but i used 2 think tht one guy from there was ugly but now i dont think so anymore,0
SBEdits ugly af,0
RT bubblestbh rt if ur the ugly friend,0
RT bubblestbh rt if ur the ugly friend,0
Smh for when girls call themselves ugly for compliments ,0
Miggyrunfast Im ugly and Im proud,1
If you take a selfie amp put the caption as something to do with you being ugly I have no respect,0
98 stress 2 ugly,0
RT giselle17r Its honestly hard being ugly,0
Why is this 9th grade Vincent Hunter before he got ugly and odd built Bristefanic sydneyhargrove httpstcoTnrZMYKRf1,0
its ugly i love it httpstco0GjWEkVnWl,1
RT AdorableWords arrives home ahh good now i can be ugly in peace,0
RT chloeeconway Why would you want the ugly school drape photos when Samantha does such an amazing job with them SENIORS2017 ???? http…,0
gabiolson24 thats what Im sayin ?? last I knew seve was an ugly fat 6th grader and now hes driving amp Jackson has a girlfriend wtf,0
RT bubblestbh rt if ur the ugly friend,0
I dont think Im going on a date my high school years because Im so ugly and no guy likes me,0
Whats so ugly is when my American friends use London slang ??????,0
RT GirlsCanReIate Is anyone else going through that stage where u just feel ugly no matter what you try to do with yourself,0
44 Idk why things never work out for me Like what is it I must be ugly bruh,0
I feel so ugly omg httpstcoiWaMDhRdPB,0
RT AdorableWords arrives home ahh good now i can be ugly in peace,0
The good the bad and the ugly 1967 httpstcocBeGWsaJhB,0
Gym shit Being ugly httpstco4NDkIaW272,0
RT imWaavey When he usually just calls you ugly ass fuckin noodle head but then randomly says something cute httpstcoIHNN8uscVY,0
Thanks Ugly God??,0
RT bubblestbh rt if ur the ugly friend,0
RT kiadg5 Me all the way I hate send huge paragraphs its so ugly to me httpstcoLoT3WNXTGZ,0
RT baeryl me Im a bad bitch and I dont care what people say\n\neveryone my god that bitch is so ugly holy FUCK\n\nme httpstcoP7x0Q…,1
UglyNigga00 gt Mestoy Masturvando \n\n Esperate Guey\npictwittercom60TTg1EDdH,0
JoelGord I find their spines almost intolerably ugly,0
RT GERMDQB Some people just ugly inside and out,0
AlphaChung stop une ugly lol,0
today I went through all the trouble of sculpting this ugly pot and then baking it for an hour just to find this te… httpstcoMIWzs1ll6O,0
MiraorWHATEVER my dog gone eat yo ugly ass dog,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
I hate ugly btchs ,0
RT bubblestbh rt if ur the ugly friend,0
RT jonfavs 3 Called those women liars and implied that some were too ugly for him to assault,0
Chase Utley saved by Julio Urias That could have gotten ugly Dodgers,0
RT bIoodorb ugly but i wont break ur heart,1
Notice how theyre all ugly fucks ISeeATrend httpstcorhFRsyFHRO,0
School has made me broke and ugly ??,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT Dutch Twitter be making me ugly laugh in public lmao,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
Trump factchecker Toronto Stars Dale explains why it matters how many lies Donald tells not just how big httpstcoF4TWKt9Dzh,0
RT GirlsCanReIate Is anyone else going through that stage where u just feel ugly no matter what you try to do with yourself,0
RT MichaelSwander Mo Speights recounts how Draymond fed up practice and s\n\nDraymond ROCCO HELLA UGLY\n\nKLAY httpstcoi1qNopym…,0
why do ugly boys that look like toes think its okay to be mean to girls,0
RT shruggful Im ugly but\n1 I text back in 3sec\n2 Im funny \n3 Ill buy you food,1
Webcam femdom compilation movies ugly young sexy\n\n?? The link my intimate photos\n\n?? httpstcoIJXOFbT5o5 httpstcopZfKdJP0BN,0
pimptankooo ampthats why you ugly  dammit do you understand  ??,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
hellohxseok lunarhealy get ur ugly tweets out my thread u scumbag ????,0
Niggas hate claiming they ugly ass baby mamas??,0
dont mind my ugly face ?? just ignore it httpstcoG2PDQFMY8q,0
regionaIIatbest this why i dont trust ppl with androids I AINT FUCKING W YOU IF U GOT AN UGLY ASS PHONE,0
RT bubblestbh rt if ur the ugly friend,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
Once a guy said goodnight beautiful to me amp I didnt know what to say so I said goodnight ugly amp that is probably why I dont have a bf,0
RT imWaavey When he usually just calls you ugly ass fuckin noodle head but then randomly says something cute httpstcoIHNN8uscVY,0
muddysundae so ugly,0
ArgumedezAngie who called you ugly wtf ???? do they not have eyes ,0
RT grandromantiic Imagine Thinking That Recent Ryan Is Ugly httpstcoFlI9J3dNFQ,0
RT SwisherSweeet Love My Ugly Ass Sisters ????????XcSerrano lilshooterrr peppermohamed,0
RT bubblestbh rt if ur the ugly friend,0
Blocked her ugly ass almost scared me on ft dawg ????,0
RT polaxrize me im ugly\nfriend shut up you probably have so many guys after u\nme httpstcoJdWjznJk0w,0
RT xxTamaitai yall ugly lmao I cant even be mad ??,0
Remember when Cole was the ugly twin,1
ticonderoguish mintyybear yes ofc sir have some soup on the house we will ugly her up ASAP httpstco30TxmXx7vv,1
esta refea la amiguita inglesa Chaska Borek muy fea para mi CHicharito el se merece algo mejor ChaskaBorek your ugly,0
Damn shes ugly httpstcowQI5d9ZbkW,0
RT klatchet rT iF u UgLy aF,0
Cernovich MSM is so petrified of Trump they see him behind everything including Danny Ugly to watch them vent their Trump rage on him,0
RT DaveEast You Ugly But Ugly Too httpstcoSCXAG6zJ5u,0
RT bubblestbh rt if ur the ugly friend,0
RT bubblestbh rt if ur the ugly friend,0
i wanna see ugly god live,0
Im ugly and Im proud?? httpstcoJC9Zt6GeuD,0
RT NoahPesante Im ugly but Ill make you laugh,0
RT StephenKing I cant wait for this ugly fucking presidential campaign to be over,0
actual news twitter user allkpopz wastes everyones time by being ugly and bitter httpstcoESf3nf4cDy,0
RT UNICUNTTTT When the ugly nigga be like wheres my hug httpstcoGagHtVOsvK,0
Kyuneki It does lol Sometimes there are certain panels that look so realistic they become ugly,0
I hate my life from how ugly I am,0
RT bubblestbh rt if ur the ugly friend,0
Huntsville and all these ugly speed bumps,0
RT kaitmcnn awh appreciation post for this one thanks for being ugly?? httpstcovDxzWRaKHr,0
honestly the one thing that makes me most bitter about school is that its made me ugly I used to have a hairline and eyes wo bags smh,0
RT bubblestbh rt if ur the ugly friend,0
I dont understand how some people say they are ugly but post a million pics of themselves it doesnt make sense,0
RT BRANDONWARDELL when i find out someone i follow on here whose tweets ive enjoyed is ugly i feel betrayed on a stomachturning le…,0
RT 127Skooby YOUR LINE Oh yeah fire sure you dumb Jit you say yeah your ugly you never say you shitted httpstcoOCJDZQVRW3,0
RT GenjiShitmada Im ugly laughing at this httpstcogDnvr5wiOS,0
RT bubblestbh rt if ur the ugly friend,0
RT miyoko2x you ugly you your daddy son,0
la inglesa Chaska Borek no es para chicharito asi q se consiga otro chavo ChaskaBorek chicharito thinks ur ugly,0
RT AdorableWords arrives home ahh good now i can be ugly in peace,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT graceyyking when Im having a bad day isaac sends me ugly pictures in a memory video IsaacKe06347617 httpstcoto5Gm3Vqua,0
RT bubblestbh rt if ur the ugly friend,0
Thanks ugly god,0
a Chicharito no le gusta las extranjeras mucho menos la inglesa Chaska Borek ChaskaBorek ur ugly ,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
nataq23 kirbysueee wow Im ugly hahahahaha,0
U could be 10x prettier than a female but if her body is Afucking1 and she only a LIL ugly idkkk mannn,0
When you ugly but snap chat got you ?? liltwinovo httpstcop1AA08JfJq,1
Like literally I say ugly things sometimes  I have no soul you know,0
iM DELETING THAT IM SO UGLY DUDNSKDM,0
You reeel ugly —  httpstcoCvClYdwM2M,0
You cant spell you ugly ass jitt your intensive reading teacher is ugly for not teaching you how to read httpstco4WyYtVcaYr,0
RT thefaIsh Oomf is coming for me when he stans a ugly interracial couple yikes httpstcosoIbpMWokT,0
RT MotherMayI They Said All Real Niggas First Babys Mother Ugly Iguess Times Changed Or My Son Father Not Real Cause k,0
RT lilladie21 i miss Sarahs ugly ass,0
RT kiadg5 Me all the way I hate send huge paragraphs its so ugly to me httpstcoLoT3WNXTGZ,0
I use to do the ugly snotty nose cry to this song ?? httpstco2mc30jqrmT,0
This ugly dress thing that I sleep in ?? httpstcoTnVf8A97LA,0
RT Perezjp16J Mexicans will get a ugly ass expedition and throw the cheapest chrome rims they can afford,0
kammillaaa ur so ugly for this,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
